Date,GDP,CPI,U3 rate,S$NEER,F&B,Brent Oil Prices,US GDP
1/4/2018,126706.4,99.43,2.1,125.65,103.4,74.8900207039338,20492.492
1/7/2018,129091.1,99.65,2.1,126.23,97.59,76.0811317523057,20659.102
1/10/2018,129168.1,99.56,2.2,126.96,97.19,68.3200699542004,20813.325
1/1/2019,128115.6,99.89,2.2,127.42,98.06,63.7568957902001,21001.591
1/4/2019,128684.7,99.98,2.3,127.61,98.13,68.3578465085639,21289.268
1/7/2019,128746.1,100.09,2.2,127.24,95.6,62.1237693707259,21505.012
1/10/2019,126832.2,100.3,2.3,128.26,101.97,62.5553842775582,21694.458
1/1/2020,127879.2,99.74,2.5,126,96.02,51.1789894598155,21481.367
1/4/2020,109118.1,99.38,2.9,125.65,96.6,33.3771572871573,19477.444
1/7/2020,117683.5,99.88,3.4,125.64,100.22,43.4346329757199,21138.574
1/10/2020,121374.2,100.33,3.2,125.56,109.49,45.3445915678524,21477.597
1/1/2021,131353.6,101.1,2.9,125.59,121.13,61.1277829537612,22038.226
1/4/2021,134343.4,101.8,2.7,125.97,128.09,69.1399278499279,22740.959
1/7/2021,133487.2,102.61,2.6,125.88,127.63,73.2469696969697,23202.344
1/10/2021,134126.4,104.29,2.4,126.21,133.55,79.8113178367526,24002.815
1/1/2022,145208.5,106.2,2.2,127.27,152.92,97.4431269841270,24386.734
1/4/2022,148444.4,108.36,2.1,129.81,148.65,111.9873593073590,24882.878
